Session_ID,Station_ID,Vehicle_ID,Start_Time,End_Time,Energy_Consumed_kWh,Payment_Amount,Charging_Mode,Session_Status
900001,29808,67682,2024-10-27 12:08:00,2024-10-27 12:52:00,24.62,324.8,Normal,Completed
900002,17891,51229,2024-07-28 05:53:00,2024-07-28 07:53:00,25.77,370.04,Trickle,Scheduled
900003,19578,66957,2023-06-10 00:01:00,2023-06-10 00:36:00,47.66,651.38,Normal,Scheduled
900004,19493,69926,2024-04-05 17:16:00,2024-04-05 19:02:00,26.5,335.93,Fast,Completed
900005,16338,53292,2023-08-29 11:45:00,2023-08-29 14:30:00,25.12,625.62,Fast,Completed
900006,11535,68365,2024-10-28 14:48:00,2024-10-28 17:28:00,33.99,485.49,Fast,Interrupted
900007,24575,56589,2023-06-15 14:11:00,2023-06-15 16:34:00,41.35,454.31,Trickle,Interrupted
900008,17079,63893,2024-07-29 04:59:00,2024-07-29 07:56:00,34.18,762.56,Trickle,Completed
900009,26728,58828,2024-08-29 08:06:00,2024-08-29 09:37:00,59.01,876.84,Fast,Scheduled
900010,13326,53626,2023-04-09 01:06:00,2023-04-09 03:56:00,46.87,846.29,Fast,Completed
900011,11186,61181,2024-06-17 03:39:00,2024-06-17 05:33:00,44.69,537.29,Fast,Scheduled
900012,25342,57661,2024-12-10 16:08:00,2024-12-10 16:49:00,30.09,393.52,Fast,Interrupted
900013,29063,67253,2023-04-06 13:59:00,2023-04-06 15:00:00,19.3,271.58,Fast,Scheduled
900014,25209,55332,2024-01-03 01:23:00,2024-01-03 02:15:00,37.7,693.8,Trickle,Completed
900015,19819,54224,2025-03-18 06:16:00,2025-03-18 08:29:00,47.09,598.36,Trickle,Scheduled
900016,16580,68073,2023-05-04 05:08:00,2023-05-04 05:41:00,21.64,512.81,Trickle,Completed
900017,11887,55088,2023-03-09 00:35:00,2023-03-09 03:35:00,56.4,1114.03,Fast,Completed
900018,10261,51243,2024-07-27 17:07:00,2024-07-27 17:57:00,35.25,401.1,Normal,Scheduled
900019,26233,53766,2023-01-07 20:41:00,2023-01-07 21:36:00,26.51,586.7,Normal,Interrupted
900020,13536,59997,2024-08-23 11:29:00,2024-08-23 14:00:00,19.55,337.15,Trickle,Interrupted
900021,11101,67429,2024-06-03 14:22:00,2024-06-03 16:15:00,9,165.76,Fast,Completed
900022,24359,66955,2023-12-24 21:42:00,2023-12-24 23:54:00,18.58,243.36,Normal,Interrupted
900023,13167,57134,2023-09-15 23:26:00,2023-09-16 02:23:00,49.16,677.21,Normal,Interrupted
900024,22947,51806,2024-12-08 05:15:00,2024-12-08 07:25:00,50.42,996.32,Normal,Interrupted
900025,26783,67262,2024-09-25 18:43:00,2024-09-25 20:10:00,6.54,138.64,Trickle,Interrupted
900026,24534,61523,2023-11-05 19:52:00,2023-11-05 21:34:00,18.02,450.46,Trickle,Interrupted
900027,12485,65358,2023-06-11 11:47:00,2023-06-11 14:14:00,14.73,261.37,Normal,Completed
900028,18924,62749,2023-07-11 18:50:00,2023-07-11 20:21:00,6.19,143.44,Normal,Interrupted
900029,25803,54647,2023-11-18 11:11:00,2023-11-18 11:44:00,29.18,410.94,Trickle,Scheduled
900030,25547,54960,2024-03-20 18:41:00,2024-03-20 20:21:00,40.22,592.44,Trickle,Completed
900031,23615,51125,2023-12-25 05:07:00,2023-12-25 08:07:00,5.18,73.92,Normal,Completed
900032,26316,64889,2024-09-21 18:56:00,2024-09-21 20:02:00,51.72,938.65,Trickle,Interrupted
900033,28810,59735,2024-01-02 02:28:00,2024-01-02 03:47:00,54.78,638.67,Trickle,Scheduled
900034,16769,56327,2025-04-12 13:09:00,2025-04-12 14:16:00,38.06,686.33,Normal,Interrupted
900035,18938,50985,2023-12-21 08:34:00,2023-12-21 10:15:00,41.63,751.8,Normal,Completed
900036,10735,61719,2024-11-21 21:37:00,2024-11-21 22:07:00,51.78,999.72,Trickle,Interrupted
