Station_ID,Location,Capacity_kW,Installation_Date,Power_Level
10001,Chandigarh,300,2022-01-12,DC Fast
10002,Bilaspur,11,2022-07-01,Level 1
10003,Aizawl,120,2022-03-05,DC Fast
10004,Vijayawada,200,2019-03-12,DC Fast
10005,Pimpri-Chinchwad,300,2020-03-11,DC Fast
10006,Solapur,50,2024-08-22,Level 2
10007,Balasore,150,2022-10-05,DC Fast
10008,Varanasi,30,2023-12-27,Level 2
10009,Ranchi,7.2,2024-07-27,Level 1
10010,Surat,150,2024-04-01,DC Fast
10011,Thrissur,43,2022-01-24,Level 2
10012,Durgapur,120,2020-03-28,DC Fast
10013,Bareilly,180,2024-02-26,DC Fast
10014,Asansol,75,2019-07-08,Level 2
10015,Kohima,30,2024-01-24,Level 2
10016,Hubli,180,2023-05-04,DC Fast
10017,Warangal,90,2020-11-22,Level 2
10018,Jabalpur,200,2022-05-28,DC Fast
10019,Rohtak,100,2023-06-18,Level 2
10020,Saharanpur,7.2,2024-03-06,Level 1
10021,Meerut,180,2022-11-28,DC Fast
10022,Varanasi,30,2024-01-26,Level 2
10023,Kota,43,2022-03-17,Level 2
10024,Rewa,11,2020-11-09,Level 1
10025,Karimnagar,60,2021-02-01,Level 2
10026,Kota,43,2022-03-17,Level 2
10027,Warangal,90,2024-09-13,Level 2
10028,Dharwad,60,2024-01-01,Level 2
10029,Rohtak,75,2020-07-26,Level 2
10030,Karnal,22,2019-08-06,Level 1
10031,Varanasi,100,2024-04-14,Level 2
10032,Vadodara,11,2020-02-02,Level 1
10033,Chennai,180,2023-07-28,DC Fast
10034,Kurukshetra,75,2021-06-05,Level 2
10035,Tirupati,150,2024-03-11,DC Fast
10036,Panipat,120,2019-07-13,DC Fast
10037,Kurukshetra,30,2023-03-09,Level 2
10038,Delhi,120,2020-10-28,DC Fast
10039,Jodhpur,22,2021-04-12,Level 1
10040,Ludhiana,3.3,2023-11-12,Level 1
10041,Nagpur,60,2022-04-26,Level 2
10042,Shillong,22,2023-02-06,Level 1
10043,Aurangabad,120,2023-06-10,DC Fast
