Weather_ID,Timestamp,Location,Temperature_C,Rainfall_mm,Wind_Speed_kph,Humidity_pct,Weather_Condition
800001,2023-04-22 07:57:00,Hosur,33.9,21.3,11.7,45.4,Rainy
800002,2023-06-16 08:01:00,Balasore,21.4,97.9,25.7,60,Clear
800003,2023-04-17 07:48:00,Karimnagar,44.3,18,33.1,51.7,Clear
800004,2024-04-13 17:48:00,Pune,26.7,32.6,12.8,86.9,Clear
800005,2023-06-07 08:11:00,Srinagar,36.7,73.9,31.9,75.3,Stormy
800006,2024-03-12 18:10:00,Ludhiana,33.6,0.9,20.5,38.8,Cloudy
800007,2023-08-01 17:41:00,Delhi,25,17.8,2.7,70.5,Cloudy
800008,2024-11-25 23:19:00,Naya Raipur,21.6,63.7,14,58.3,Clear
800009,2023-04-30 01:15:00,Mysuru,39.9,93.8,29.3,79.4,Clear
800010,2023-01-30 20:22:00,Vizhinjam,35.9,65.5,14.2,40.1,Stormy
800011,2024-02-10 13:01:00,Kolkata,19.8,69.7,0.3,52.7,Rainy
800012,2024-07-02 16:22:00,Aizawl,44.3,93.1,7.7,77.7,Stormy
800013,2023-04-16 11:59:00,Vizhinjam,32.1,47.7,28.1,91,Stormy
800014,2024-06-17 07:03:00,Rourkela,39.9,6.4,16.9,86.2,Clear
800015,2023-06-20 11:26:00,Belgaum,31.7,42,24.2,77.6,Stormy
800016,2023-02-14 16:30:00,Hosur,38.3,68.1,26.9,64,Cloudy
800017,2024-03-01 09:07:00,Satna,34.3,89.9,11.1,87.5,Rainy
800018,2023-06-16 18:58:00,Solapur,22.4,10.2,4.4,63,Stormy
800019,2024-05-15 09:43:00,Salem,25.5,96.3,37.4,74.8,Clear
800020,2024-09-22 23:46:00,Meerut,33.6,81.3,21.9,51.5,Clear
800021,2024-08-23 06:16:00,Pimpri-Chinchwad,21.2,79.9,12.2,77.8,Clear
800022,2025-01-20 22:21:00,Kurukshetra,13.7,45.6,13.1,79.2,Clear
800023,2024-12-10 11:32:00,Coimbatore,38.4,26.9,25.4,62.4,Clear
800024,2024-07-30 07:53:00,Nagpur,11,44.5,12.3,61.7,Cloudy
800025,2025-04-07 09:05:00,Darbhanga,38.6,13.8,23.3,36.7,Stormy
800026,2023-11-05 05:44:00,Guwahati,13.5,82.8,24.3,53.3,Cloudy
800027,2024-05-01 00:57:00,Rewa,29.1,19.1,2.1,78,Stormy
800028,2023-02-23 00:01:00,Kalyan,18.9,28.7,33.9,57.8,Cloudy
